date,ticker,price
2024-01-01,AAPL,149.95191481393516
2024-01-02,AAPL,149.11069304821027
2024-01-03,AAPL,149.1657841451381
2024-01-04,AAPL,149.48524444081457
2024-01-05,AAPL,150.3376373763347
2024-01-06,AAPL,151.44900116937754
2024-01-07,AAPL,152.01323731599916
2024-01-08,AAPL,152.7080767868635
2024-01-09,AAPL,151.89254672513084
2024-01-10,AAPL,152.38081082740945
2024-01-11,AAPL,150.91033631252972
2024-01-12,AAPL,150.89649542466847
2024-01-13,AAPL,150.81541801870313
2024-01-14,AAPL,150.5783265165621
2024-01-15,AAPL,150.6095219892805
2024-01-16,AAPL,152.40849825356725
2024-01-17,AAPL,152.37886548816704
2024-01-18,AAPL,151.69388818272765
2024-01-19,AAPL,153.0206672530213
2024-01-20,AAPL,152.9645970389684
