date,ticker,price
2024-01-01,AAPL,150.45892151287308
2024-01-02,AAPL,150.48552610178288
2024-01-03,AAPL,150.0097523344822
2024-01-04,AAPL,149.9840374326276
2024-01-05,AAPL,151.13253242225022
2024-01-06,AAPL,151.4568895174041
2024-01-07,AAPL,150.257382923848
2024-01-08,AAPL,147.94243576055678
2024-01-09,AAPL,148.71061523830602
2024-01-10,AAPL,148.78785008641128
2024-01-11,AAPL,148.38085843058641
2024-01-12,AAPL,148.70204653464535
2024-01-13,AAPL,148.20611018417767
2024-01-14,AAPL,147.8824560011602
2024-01-15,AAPL,146.43421697163342
2024-01-16,AAPL,146.40484418293948
2024-01-17,AAPL,146.31795201057605
2024-01-18,AAPL,146.94166955889798
2024-01-19,AAPL,146.92287343845615
2024-01-20,AAPL,147.43416567977863
